trial,CID,SID,GID,TID
SA11,209917,88,GID3630912,16447
SA11,303945,459,GID3582402,16447
SA11,306489,212,GID3822952,16447
SA11,306489,191,GID3822954,16447
SA11,279807,61,GID3855011,16447
SA11,279807,53,GID3827768,16447
SA11,279819,62,GID3855085,16447
SA11,279826,68,GID3855122,16447
SA11,280722,108,GID3855637,16447
SA11,280722,113,GID3822957,16447
SA11,280757,72,GID3855700,16447
SA11,280763,162,GID3822958,16447
SA11,280763,156,GID3855762,16447
SA11,280765,58,GID3822959,16447
SA11,280774,51,GID3855833,16447
SA11,334948,515,GID3827650,16447
SA11,334948,530,GID3888386,16447
SA11,334971,536,GID3827936,16447
SA11,263836,22,GID3853128,16447
SA11,264293,21,GID3853368,16447
SA11,313176,79,GID3574440,16447
SA11,313205,76,GID3686338,16447
SA11,313209,61,GID3686348,16447
SA11,313216,53,GID3574445,16447
SA11,313219,42,GID3686366,16447
SA11,287529,36,GID2673152,16447
SA11,320326,163,GID3822956,16447
SA11,320356,163,GID3822784,16447
SA11,320358,59,GID3827649,16447
SA11,320365,63,GID3872312,16447
SA12,8945,11,GID31096,17310
SA12,304079,106,GID3827946,17310
SA12,304079,109,GID3864981,17310
SA12,306489,210,GID3830751,17310
SA12,306547,119,GID3827925,17310
SA12,306547,120,GID3827914,17310
SA12,306547,127,GID3868696,17310
SA12,306547,131,GID3868699,17310
SA12,279807,56,GID3827947,17310
SA12,279818,66,GID3827942,17310
SA12,279819,57,GID3830750,17310
SA12,279819,61,GID3855086,17310
SA12,279819,55,GID3827924,17310
SA12,279826,61,GID3827943,17310
SA12,279826,78,GID3827944,17310
SA12,279826,63,GID3855127,17310
SA12,280725,76,GID3855644,17310
SA12,280725,78,GID3827956,17310
SA12,280757,65,GID3855707,17310
SA12,280757,76,GID3827934,17310
SA12,280765,59,GID3827945,17310
SA12,280805,59,GID3855902,17310
SA12,334938,320,GID3888096,17310
SA12,334938,321,GID3888095,17310
SA12,334938,371,GID3827750,17310
SA12,334938,379,GID3888064,17310
SA12,334948,269,GID3827938,17310
SA12,334948,272,GID3827751,17310
SA12,334948,301,GID3888537,17310
SA12,334948,307,GID3888335,17310
SA12,334948,313,GID3888320,17310
SA12,334971,509,GID3888601,17310
SA12,335022,343,GID3888822,17310
SA12,335446,55,GID4314513,17310
SA12,342454,62,GID4556647,17310
SA12,331793,57,GID4315350,17310
SA12,363213,43,GID4557150,17310
SA12,431763,107,GID4874568,17310
SA12,431763,109,GID4874564,17310
SA12,267187,371,GID3853716,17310
SA12,280795,42,GID3822960,17310
SA13,303886,57,GID4563437,18235
SA13,303922,51,GID4563443,18235
SA13,303945,585,GID4563453,18235
SA13,303992,60,GID4563455,18235
SA13,304029,50,GID4563461,18235
SA13,304044,54,GID4563470,18235
SA13,304161,52,GID4563475,18235
SA13,304198,72,GID4563487,18235
SA13,304269,49,GID4563499,18235
SA13,306489,228,GID4063918,18235
SA13,306547,135,GID4097206,18235
SA13,279819,74,GID4082973,18235
SA13,279826,93,GID4062605,18235
SA13,280757,86,GID4063927,18235
SA13,334938,1107,GID4569045,18235
SA13,334938,1102,GID4342318,18235
SA13,334939,52,GID4569046,18235
SA13,334948,1069,GID4569093,18235
SA13,334948,1102,GID4062607,18235
SA13,335018,64,GID4569255,18235
SA13,335442,56,GID4569843,18235
SA13,342438,56,GID4577785,18235
SA13,342449,88,GID4577847,18235
SA13,342449,79,GID4577855,18235
SA13,342454,70,GID4747282,18235
SA13,342462,64,GID4577931,18235
SA13,342469,52,GID4577963,18235
SA13,342488,59,GID4753157,18235
SA13,342505,73,GID4578092,18235
SA13,342543,59,GID4753188,18235
SA13,342633,63,GID4578411,18235
SA13,342635,80,GID4578415,18235
SA13,342660,71,GID4578503,18235
SA13,342686,67,GID4578658,18235
SA13,342686,75,GID4578650,18235
SA13,342784,68,GID4578860,18235
SA13,325362,78,GID4564408,18235
SA13,325440,40,GID4564440,18235
SA13,325443,94,GID4564445,18235
SA13,331657,111,GID4566103,18235
SA13,331776,38,GID4566156,18235
SA13,363213,50,GID4772148,18235
SA13,392356,71,GID4799210,18235
SA14,365536,52,GID4883328,18644
SA14,365536,56,GID4883326,18644
SA14,363246,42,GID4883041,18644
SA14,365562,49,GID4883350,18644
SA14,365833,50,GID4883399,18644
SA14,362924,52,GID4882904,18644
SA14,363029,48,GID4882933,18644
SA14,363172,46,GID4882993,18644
SA14,363191,51,GID4882998,18644
SA14,363192,46,GID4883007,18644
SA14,363192,49,GID4883006,18644
SA14,363192,53,GID4883005,18644
SA14,363209,44,GID4883015,18644
SA14,363209,45,GID4883014,18644
SA14,363214,49,GID4883022,18644
SA14,363214,50,GID4883021,18644
SA14,363248,46,GID4883044,18644
SA14,363248,48,GID4883043,18644
SA14,372681,42,GID4884520,18644
SA14,373313,42,GID4885580,18644
SA14,373334,61,GID4885594,18644
SA14,373334,63,GID4885592,18644
SA14,373334,66,GID4885591,18644
SA14,373334,67,GID4885590,18644
SA14,373355,47,GID4885600,18644
SA14,373355,48,GID4885599,18644
SA14,360340,45,GID4879809,18644
SA14,360341,47,GID4879810,18644
SA14,431800,214,GID4963944,18644
SA14,431800,216,GID4963943,18644
SA14,431808,114,GID4976211,18644
SA14,429474,217,GID4943190,18644
SA14,342479,61,GID4878600,18644
SA14,363213,60,GID4883019,18644
SA14,365653,59,GID4883372,18644
SA14,365653,60,GID4883371,18644
SA14,365653,61,GID4883370,18644
SA14,342454,89,GID4878578,18644
SA14,342454,95,GID4878575,18644
SA14,342452,51,GID4878570,18644
SA14,342452,53,GID4878569,18644
SA14,342671,56,GID4878651,18644
SA14,342716,38,GID4878677,18644
SA14,335446,82,GID4750129,18644
SA15,384956,94,GID4932238,18998
SA15,384994,60,GID4932272,18998
SA15,388324,50,GID4961056,18998
SA15,388370,76,GID4961148,18998
SA15,388384,38,GID4961154,18998
SA15,385077,75,GID4932295,18998
SA15,385077,78,GID4932292,18998
SA15,385184,50,GID4932345,18998
SA15,385184,55,GID4932340,18998
SA15,388408,79,GID4961168,18998
SA15,388436,67,GID4961197,18998
SA15,388444,83,GID4961207,18998
